text,label,hate_type,dialect,source
@yumnafawaz @General_Aoun والله اقل شي انتي لازم تنكبي بالحبس مش بس عا افكارك النتنة وقلة احترامك..عا سماكة وتقل دمك,hate,gender,levantine,letmi
@DimaSadek @yumnafawaz صدقنا انك نزلتي.. ليه ما بقيتي #ديما_الواطية,hate,gender,levantine,letmi
@DimaSadek تفه عليكي انت يا مكرسحة,hate,gender,levantine,letmi
"@DimaSadek تافهة منحطة وبايخة 
#لعبي_عقدك",hate,gender,levantine,letmi
@DimaSadek ليكي في فيديو بيفرجي انو ما قرب عليها اصلا يا دجالة يا عبيطة ولا قرب صوبها ��,hate,gender,levantine,letmi
@yumnafawaz يا عيب الشوم عليكي يا موّتي (مرتّي) ! تفه عأصلك، لو في اهل يربوكي ما بتهوشي هيك. بس مربايين معزابة.,hate,gender,levantine,letmi
@DimaSadek يا بومة يا حية يا دودة يا عقربة يا ديما,hate,gender,levantine,letmi
@DimaSadek @HichamHaddad57 @LBCI_NEWS مين بدو يحضرك يا حرباية كل شوي بلون,hate,gender,levantine,letmi
@DimaSadek بإختصار كلي خرا! �,hate,gender,levantine,letmi
@DimaSadek يا فاسدة روحي شوفو زوجك الناصب تفوو يا بلا شرف,hate,gender,levantine,letmi
@yumnafawaz بكم حرم بتلدغ يمنى,hate,gender,levantine,letmi
@DimaSadek الله يقصف عمرك انت الله لا يسامحك اديشك خبيثة,hate,gender,levantine,letmi
@DimaSadek يا هبيلة الهبلان ديما صادق صور والنبطية عم يثورو عا معلمك نبيه بري قبل كل الناس لانه حركة الظالمين حرقة قلبهم,hate,gender,levantine,letmi
@DimaSadek @alislim124 الله يرض عليك على الصبح الي متل خليتك .. يا اختي مين ما كان اكون.. بلا فتنة و انضبي,hate,gender,levantine,letmi
@yumnafawaz انتي لا شكل ولا مضمون ولا نفسية وتافهة كمان,hate,gender,levantine,letmi
@yumnafawaz @DimaSadek #ديما_الواطية  و #يمنى_بتلدغ,hate,gender,levantine,letmi
@DimaSadek حبيت صبح عليكي دمدوم بونجور  خلي زوجك يشوفهم بلكي بيتعلم الرجوله شوي وبضبك حاجتك فلتانه شفناكي مبارك من… https://t.co/GngBKjnqeq,hate,gender,levantine,letmi
@DimaSadek اه انشالله بس مش السيد اللي رح يقبر قلبك انشالله ما تلاقي حدا يقبرك عاهرة الثورة,hate,gender,levantine,letmi
@DimaSadek لمّا قلت عنّك جحشة ما غلطت و حمارة كمان,hate,gender,levantine,letmi
@alimajed31189 @comment0 @DimaSadek وينك اليوم طلعتي ع طرابلس مبارح ايمتى باقي المناطق يا واطيه.,hate,gender,levantine,letmi
@DimaSadek انشالله بيقبرك إنتي وعيلتك�,hate,gender,levantine,letmi
@DimaSadek انا طبعا مع الحراك ، و مع تنظيمه اكتر بس لو سمحتي بقصّة سلاح المقاومة او يلي مسمّيتيها الضاحية ، عذرًا م… https://t.co/IaxS0qyrza,hate,gender,levantine,letmi
@yumnafawaz اكيد انت غنمة,hate,gender,levantine,letmi
"@berrynawal كنا ب #ديما_الوطية
صرنا ب #نوال_البهلة.. يقطع عمرك شو زكية",hate,gender,levantine,letmi
@DimaSadek روحي انضبي يا شرشوحة وتعلمي الفهم,hate,gender,levantine,letmi
@yumnafawaz @rayaelhassan العمى ما اقرفق,hate,gender,levantine,letmi
@MariamAlbassam نانسي السبع مراسلة والله محلل سياسي ضد حزب الله؟ ضبّوها...يا حيف ع هيك مراسلات,hate,gender,levantine,letmi
@DimaSadek بعتقد  عم يحكي باسم لبنان يا هبلة !,hate,gender,levantine,letmi
@DimaSadek يعني اخترعتي البارود ��,hate,gender,levantine,letmi
@yumnafawaz الله يسخطك,hate,gender,levantine,letmi
الرعاع وشاربوا بول البعير متى عىفتم كرة القدم لكي تتحدثوا عن لاعب دفع شيخكم تركي الكثير لجلبه وهو حاء حبا في الكعبة… @url,hate,race,mixed,mlma
@user @user @user @user خنازير قطر هذا خنزير من حلفاءكم يطلب مساعدة (سمي النعال) @url,hate,race,mixed,mlma
@user @user لاحظو حجم الأسى الذي سببته السعودية العظمى لإيران وبوقها الإعلامي الخنزيرة.,hate,race,mixed,mlma
وجيههم مغسوله بمرق خنازير وعادي عندهم,hate,race,mixed,mlma
صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @user,hate,race,mixed,mlma
@user @user خنزير فاجر يقتل القتيل ويمشي في جنازته امتا يارب النجاه من الفاسد الإرهابي ده اللي بيتحكم في المصريين غصب عنهم,hate,race,mixed,mlma
لفتتني ثقافة مجتمع أراده حاكمُه داعشيا:اطلق شبيحة النظام السوري علي شائعة اغتصاب.قام النظام السعودي بتكراره مع كمّ… @url,hate,race,mixed,mlma
@user @user @user يا بهيم حامل كتاب التاريخ بالمقلوب هههه.. في ١٩٨٢ اسراءيل هي الي أسقطت ٨٩ طائرة سوري… @url,hate,race,mixed,mlma
@user لعنت الله علي محمد الهاشمي وفيصل القاسم كلهم خنازير قطر واعداء الاسﻻم والمسلمين,hate,race,mixed,mlma
@user @user عزيزي اللبناني تعرف اذا شفنا مكان وسخ نقول عليه زبالة كأنه لبنان !,hate,race,mixed,mlma
ليس لدي شك أن تنظيم عيال فطيمة خنازير الخمارات العبرية المتحدة متورطين في #قضية_خاشقجي بريطانيا كشفت الأمر وهددتهم… @url,hate,race,mixed,mlma
@user @user @user الصعلوك هم امثالك يا حقير يا نكرة يا نجس.. انت و امثالك عبيد قردوغان الصهيون… @url,hate,race,mixed,mlma
@user ملعون ابوك صهيونى خنزير ...ياعبدة الصنم بن سلمان انتم آخر من يتكلم عن المسلمين والعرب ..,hate,race,mixed,mlma
@user @user هولاء مجموعة من خنازير أمريكا,hate,race,mixed,mlma
@user @user خنزير نجس اتفووووووو عليه خاين عرص وسخ,hate,race,mixed,mlma
@user @user نحن كامازيغ متوحشين على أساس اننا ناكل الضبان والجراد والجرابيع ونشرب بول البعير ونؤد بن… @url,hate,race,mixed,mlma
@user هذا العمليه الإجراميه الإرهابيه برعايتكم يا دموييين يا انجاس تسوون فتنه بين المسيحيين الأقباط والمسلمين ل… @url,hate,race,mixed,mlma
الحوثي عميل نجس وسخ نذل خنزير إيران  #الحديدة_تنتصر,hate,race,mixed,mlma
@user @user ماذا تقول يا شارب بول البعير لعنة الله عليك وعلى ال سلول الخونة @url,hate,race,mixed,mlma
@user @user شاربى بول البعير و راعى الأغنام مش هنستنا منهم غير قلة الأدب و السفالة كلوا زق,hate,race,mixed,mlma
@berrynawal بزقة قليل عليكي  تفة,hate,gender,levantine,letmi
@DimaSadek ليكِ انت وحدة بلا شرف شو ما حكيتي ...ما حدا رح يعبرك من هل لحظة..ما بقى نرد عليكي لانك تافهة وبلا شرف..حرام ما اهبلك..,hate,gender,levantine,letmi
"@DimaSadek ماشالله كلكم طلعتوا ممولين و مرتاحين على وضعكم لكن شو بدكم بهيدي الثورة..
و انتي لحتى ما انساكي يلعن شرفك بكعب صرمايتي..",hate,gender,levantine,letmi
@yumnafawaz أيتها التافهة,hate,gender,levantine,letmi
@DimaSadek يعني لو حضرتيك من الشعب كنتي شريفة .. خلص ما بدنا اياكي بالشعب خليكي بلا شرف يا... ديما الواطية...,hate,gender,levantine,letmi
@DimaSadek فشرتي على رقبتك سيدنا يقبرك,hate,gender,levantine,letmi
@yumnafawaz الرئيس ألقى خطابو وخلفو حيط فاضي ت البجم السخيفين اللي متلك يركزو عالخطاب مش التفاصيل وانت يا تافهة   ع… https://t.co/nxyPonAdGc,hate,gender,levantine,letmi
@DimaSadek انتي اوسخ امرأة شفتا في حياتي روحي نامي احلا ما تسمعي اكثرمن هيك حاكي,hate,gender,levantine,letmi
@DimaSadek رح يقبر قلبك لا تعتلي هم,hate,gender,levantine,letmi
@moeshamseddine @DimaSadek العاهرة الليلية�..,hate,gender,levantine,letmi
@DimaSadek سدي بوزك سيد عراسك وراس اتباعك,hate,gender,levantine,letmi
@DimaSadek .. و #ديما_الواطية حمالة الحطب,hate,gender,levantine,letmi
@DimaSadek انزلي انت والكلب جوزك والكلاب الصغار اللي عندك بالبيت حاج تضحي بولاد العالم #ديما_الواطية,hate,gender,levantine,letmi
@DimaSadek لك العمى بقلبك العمى .. لك شو نوع الحقد يللي معجونة فيه انتي ؟؟ لك خافي على أمك على اهلك على عيلتك من ال… https://t.co/F01MWf9vmR,hate,gender,levantine,letmi
@DimaSadek ديما سدي بوزك يا عاهرة يا فتنوية كلمة تفو عليكي قليلة,hate,gender,levantine,letmi
@elissianmatthi1 @DimaSadek #ديما_الواطية  صار ماثيو يدافع عنها هههههه,hate,gender,levantine,letmi
@yumnafawaz @ProtestsLebanon والله إنك مريضة نفسياً,hate,gender,levantine,letmi
@yumnafawaz ولا يهمك لانو بجل الديب الناس هونيك تهتف ارهابي ارهابي نصر الله ارهابي هههههههههه المصيبة انك بعينين وما تستخدمي الا وحدة هههههه,hate,gender,levantine,letmi
@REA361291 @DimaSadek وحدة وطنحية(عاملة حالها بتحب الوطن) وزوجها تخلى عن الجنسية اللبنانية. تفه على شرفك وشرفه.,hate,gender,levantine,letmi
@DimaSadek تفه ما أبشعك�,hate,gender,levantine,letmi
الشعب السعودي يحتفل بشرب بول البعير بمناسبه تاسيس دوله ال سعود اللعينه الذتي تحول فيها شعب عربي… @user,hate,race,mixed,mlma
@berrynawal مجدوبه وماشيه يا نوال,hate,gender,levantine,letmi
@DimaSadek انشالله بيقبرك ومنرتاح من سمك يا خنزيرة  ����,hate,gender,levantine,letmi
RT @batoulana11: @DimaSadek انشالله بيقبرك كلك مش بس قلبك,hate,gender,levantine,letmi
@DimaSadek قلبك كبير وبيساع كتييير... رخيصه,hate,gender,levantine,letmi
@DimaSadek إنتي عم تتخايلي إنو إذا كانوا الحزب و الحركةو طلعتي قدامن  ممكن يصير وجّك خريطة لبنان،تخيالي بس�,hate,gender,levantine,letmi
@DimaSadek الله يلعنك شو كذابة و منافقة,hate,gender,levantine,letmi
RT @Nasser51568120: @DimaSadek @LBCI_NEWS انت وحدة غشاشة وما خصك بالاعلام وحة فاشلة https://t.co/iu8X58whwH,hate,gender,levantine,letmi
@dianamoukalled @DimaSadek اذا انت بشعه لا يحق لك التعليق على الحسناوات بكلامك السخيف,hate,gender,levantine,letmi
@DimaSadek روحي انضبي يا غبية,hate,gender,levantine,letmi
@HousseinKassem6 @DimaSadek هيدي لا بتسمع ولا بتقشع ...قدما بتنبح بتقبض ...,hate,gender,levantine,letmi
"@DimaSadek مش غريب تحكي بمنطق رخيص اذا اهلك ما ادبوك نا تحترمي الناس اكيد الشارع ما بادبك. 
بنت شارع 

#الا-السيد",hate,gender,levantine,letmi
@DimaSadek هل ضربك الطرش والحول رجعي سمعي شو قال يا هبلا,hate,gender,levantine,letmi
@yumnafawaz @General_Aoun هو فوق عم يحلق بالكرامة وانت تحت الصرماية يا جرثومة,hate,gender,levantine,letmi
@DimaSadek لا اطمئني بتظلك تجيبي سكور مرتب بالوطاوي,hate,gender,levantine,letmi
"@DimaSadek انت بتشتغل يا احمد؟
اعوذ بالله ���
#ديما_الكذابة",hate,gender,levantine,letmi
@DimaSadek طب كلي خرا خلص,hate,gender,levantine,letmi
RT @AbouHasan5: @hader313ha @MIGUEL46224701 @DimaSadek يلعن شرفك يا بلا شرف,hate,gender,levantine,letmi
وراء كل رجل وسيم إمرأه بايره,hate,gender,mixed,mlma
@DimaSadek روحي انضبي,hate,gender,levantine,letmi
@yumnafawaz @General_Aoun انضبي ولي بلا أخلاق احترمي حالك يا بلا شرف رتش,hate,gender,levantine,letmi
