text,label,hate_type,dialect,source
@DimaSadek يا هبيلة الهبلان ديما صادق صور والنبطية عم يثورو عا معلمك نبيه بري قبل كل الناس لانه حركة الظالمين حرقة قلبهم,hate,gender,levantine,letmi
"@ALJADEEDNEWS مجموعة مسلحة 
فتانة رقم واحد 
نانسي السبع",hate,gender,levantine,letmi
@Hasan_S_88 @DimaSadek العمى شو وقحة عنجد❗️لا و رافعة الكلفة كمان,hate,gender,levantine,letmi
@user @user هولاء مجموعة من خنازير أمريكا,hate,race,mixed,mlma
": محكمة الاحتلال العسكرية تؤجل محاكمة الأسير المهندس محمد الحلبي من قطاع غزة، حتى تاريخ 14/1/2021 وستكون المحكمة الـ 155 التي يعرض فيها على محاكم الاحتلال منذ عام 2016 دون إدانة أو اعتراف بالتهم المنسوبة إليه .
",not_hate,unknown,jordanian,jhsc
@yumnafawaz كذابة كلن يعني كلن كلكم مرتشين ومنافقين وشذاذي الراي,hate,gender,levantine,letmi
"@DimaSadek @LBCI_NEWS يا ريت يكمشوكي ويلفوكي بعلم بلدك الاصلي يعني الاسرائيلي
يا الله ما احلاها يسحبوكي من شعرك ويمسحو فيكي الارض",hate,gender,levantine,letmi
كان النبي (ص) إذا عصفت الريح قال: اللهم إني أسألك خيرها وخير ما فيها، وخير ما أرسلت به، وأعوذ بك من شرها وشر ما فيها، وشر ما أرسلت به.,not_hate,unknown,jordanian,jhsc
@DimaSadek يا فاسدة روحي شوفو زوجك الناصب تفوو يا بلا شرف,hate,gender,levantine,letmi
شوفوا ي حرام ,not_hate,unknown,jordanian,jhsc
@user @user ماذا تقول يا شارب بول البعير لعنة الله عليك وعلى ال سلول الخونة @url,hate,race,mixed,mlma
"مرحبا يا جماعة .. مين بفهم بالقطط او اذا في حد طب بيطري سينير !
",not_hate,unknown,jordanian,jhsc
@DimaSadek سدي بوزك سيد عراسك وراس اتباعك,hate,gender,levantine,letmi
تخيلوا يبنات وحده من فولوينق فقدتها وادور عحسابها بالسيرش ماحصلت يعني واضح اجتهادي آخر شي احصلها عند حساب وحده مسويه بلوك انبلوك؟ ؟؟؟؟؟؟؟,not_hate,unknown,jordanian,jhsc
@DimaSadek يا بومة يا حية يا دودة يا عقربة يا ديما,hate,gender,levantine,letmi
"@DimaSadek #ديما_الواطيه والشرشوحة والتافهة وأم الشوو اوف واللي بتحب تنسب وتتبهدل
ديما المصلحجية الكذابة اللي همها… https://t.co/hlCuCdAT2L",hate,gender,levantine,letmi
معالي وزير التربية والتعليم يتحدث مع بعض الطلاب المشاركين في,not_hate,unknown,jordanian,jhsc
 طب اشربي شي بتهضمي ,not_hate,unknown,jordanian,jhsc
"@elissianmatthi1 @DimaSadek صباط السيد حسن بنيعك
وصباط جبران باسيل عا راسك",hate,gender,levantine,letmi
@DimaSadek هولي صارو عندك كل مؤيدين المقاومة... ليش بتشملي الكل بفعل كم واحد.. حاقدة جدا انتي,hate,gender,levantine,letmi
@DimaSadek تفوووو على بداحتك #ديما_الواطية و كل اهلك كلن يعني كلن واطيين متلك و طالعة الن قذرة و مجوية,hate,gender,levantine,letmi
أستغفر الله الذي لا إله إلا هو الحي القيوم و أتوب إليه .. سبحان الله و بحمده سبحان الله العظيم,not_hate,unknown,jordanian,jhsc
اللهم فرحة أنجلط من وراها وأموت  خلص,not_hate,unknown,jordanian,jhsc
@DimaSadek يا حية انضبي وكفى بخ سم,hate,gender,levantine,letmi
@DimaSadek انا طبعا مع الحراك ، و مع تنظيمه اكتر بس لو سمحتي بقصّة سلاح المقاومة او يلي مسمّيتيها الضاحية ، عذرًا م… https://t.co/IaxS0qyrza,hate,gender,levantine,letmi
